Time,Temperature,10 g X,Sound,Light,Pressure,Humidity,Comment
, C, g, dBA, lx, kPa, %RH,
0,13.3,-0.4,40.0,469,100.41,38.4,
0.96,13.3,-0.5,63.2,498,100.40,38.4,
1.92,13.3,-0.4,70.9,556,100.40,38.3,
2.88,13.3,-0.8,40.0,619,100.41,38.3,
3.84,13.3,-0.9,43.0,623,100.39,38.3,
4.8,13.3,-0.9,58.7,622,100.39,38.2,
5.76,13.3,-0.9,80.4,627,100.42,38.2,
6.72,13.3,-0.9,69.5,627,100.37,38.2,
7.68,13.3,-0.9,67.5,625,100.41,38.2,
8.64,13.3,-0.8,40.0,616,100.39,38.1,
9.60,13.3,-0.8,68.2,606,100.42,38.1,
10.5,13.3,-0.7,72.0,607,100.40,38.1,
11.52,13.3,-0.7,67.9,637,100.41,38.1,
12.48,13.3,-0.7,57.0,702,100.39,38.1,
13.44,13.3,-0.7,40.0,722,100.38,38.1,
14.4,13.3,-0.7,52.7,710,100.41,38.1,
15.36,13.3,-0.7,63.1,700,100.39,38.0,
16.32,13.3,-0.7,72.3,693,100.41,38.0,
17.28,13.3,-0.7,78.2,669,100.42,38.0,
18.24,13.3,-0.7,43.4,646,100.46,38.0,
19.2,13.3,-0.7,72.1,642,100.39,37.9,
21.12,13.3,-0.7,76.3,640,100.40,37.9,
22.08,13.3,-0.7,78.3,640,100.42,37.9,
23.04,13.3,-0.7,67.0,642,100.40,37.8,
24.00,13.3,-0.8,49.8,650,100.42,37.8,
24.96,13.3,-0.8,57.4,656,100.38,37.7,
25.92,13.3,-0.9,66.9,654,100.38,37.7,
26.88,13.3,-0.8,79.1,652,100.41,37.6,
27.84,13.3,-0.9,73.7,654,100.42,37.6,
28.80,13.3,-0.8,77.1,654,100.40,37.6,
29.76,13.3,-0.8,67.1,654,100.38,37.6,
30.72,13.3,-0.8,64.8,653,100.40,37.6,
31.68,13.3,-0.9,40.0,654,100.41,37.5,
32.64,13.3,-0.9,85.1,648,100.39,37.5,
33.60,13.3,-0.9,74.5,646,100.40,37.5,
34.56,13.3,-0.9,62.9,646,100.42,37.5,
35.52,13.3,-0.8,75.9,642,100.40,37.5,
36.48,13.3,-0.9,63.2,645,100.40,37.5,
37.44,13.3,-0.9,40.0,648,100.39,37.4,
